
2025/05/14 (07:58:08) | ===> btop++ v.1.3.0
2025/05/14 (07:58:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/17 (14:18:37) | ===> btop++ v.1.3.0
2025/05/17 (14:18:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/17 (15:43:27) | ===> btop++ v.1.3.0
2025/05/17 (15:43:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/20 (17:40:06) | ===> btop++ v.1.3.0
2025/05/20 (17:40:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/20 (17:48:32) | ===> btop++ v.1.3.0
2025/05/20 (17:48:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/21 (03:37:41) | ===> btop++ v.1.3.0
2025/05/21 (03:37:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/21 (04:34:11) | ===> btop++ v.1.3.0
2025/05/21 (04:34:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/21 (12:34:23) | ===> btop++ v.1.3.0
2025/05/21 (12:34:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/23 (08:15:31) | ===> btop++ v.1.3.0
2025/05/23 (08:15:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/23 (08:18:56) | ===> btop++ v.1.3.0
2025/05/23 (08:18:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/23 (11:36:36) | ===> btop++ v.1.3.0
2025/05/23 (11:36:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/03 (10:51:26) | ===> btop++ v.1.3.0
2025/06/03 (10:51:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/04 (08:51:15) | ===> btop++ v.1.3.0
2025/06/04 (08:51:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/04 (08:51:27) | ===> btop++ v.1.3.0
2025/06/04 (08:51:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/05 (10:06:19) | ===> btop++ v.1.3.0
2025/06/05 (10:06:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

